id,search_tag,create_time,video_desc,stickers_on_video,video_hashtags,video_duration_in_sec,is_duet_enabled,duet_from_id,music_id,music_title,music_url,music_author,music_is_original_audio,digg_count,share_count,comment_count,play_count,author_unique_id,author_nickname,author_avatar,author_signature,author_is_verified,author_duet_setting,author_following_count,author_followers_count,author_heart_count,author_digg_count,author_heart,video_path,video_url,transcription,video_contains_music,video_contains_male,video_contains_female,video_contains_noise,video_contains_no_energy,segments,total_music_duration,percentage_of_video_made_of_music
6746590978280279301,joebiden,2019-10-11 12:58:42-04:00,so the former Vice President and I are best buds now #JoeBiden #foryoupage,,"joebiden, foryoupage",32,True,0,6746567236959406853,original sound,https://v16m.tiktokcdn.com/8d5970746e4bbd68071be93887ba53da/6466229a/video/tos/useast2a/tos-useast2a-v-27dcd7/a708e07fbb1a489bb9b95291e1adf974/?a=1180&ch=0&cr=0&dr=0&er=2&cd=0%7C0%7C0%7C0&br=250&bt=125&ft=d2A~l-Inz7TYB5Gfiyq8Z&mime_type=audio_mpeg&qs=6&rc=aDgzaTVmNjk0ZGZpODs0ZkBpamczaDY0ZDxseTMzOjU8M0BgYWNgYTJhX2ExYGNfLTIvYSMxMTFmcWpgYGJfLS1iMTZzcw%3D%3D&l=2023051812052033E4661296730A12AC5E&btag=e00080000&cc=3&download=true,nithya,True,196700,5215,1447,988000,,,,,,,288,3178,202500,25800,202500,data/videos/6746590978280279301.mp4,https://www.tiktok.com/@/video/6746590978280279301,"Do you know what Dab Me Up is? Do you know what Dab Me Up is? Okay, so you have to go like that. That's how you Dab Me Up. Dab Me Up! Woo! The way we do it in my neighborhood, we go like this. You walk up, you go like this. Oh, can we do that? No, no, let's do it. You go this, this. No, no, keep it even. You're too old. This, this, and then this. This, okay, okay. Then this. You got it? I got it. Good to see you. Good to see you too.",False,True,False,False,False,"[{'label': 'male', 'start': 0.0, 'end': 32.92}]",0.0,0.0
6748582567995378949,maga,2019-10-16 21:47:08-04:00,“Your organization is terrible” #maga #fyp,Trump talking to CNN reporter,"maga, fyp",20,True,0,6748577002363652870,original sound,https://v77.tiktokcdn.com/e9314bcb480c2ffd9168d6fc0529ec1f/6466137f/video/tos/useast2a/tos-useast2a-v-27dcd7/38638f5d36ad4822ac20e478ccfecf94/?a=1180&ch=0&cr=0&dr=0&er=2&cd=0%7C0%7C0%7C0&br=250&bt=125&ft=d2A~l-Inz7TrgfGfiyq8Z&mime_type=audio_mpeg&qs=6&rc=ZmRlN2Y0PGloMzloaGc8Z0BpanJvdHZsO3loeDMzNjU8M0AwYTEvLS0xNTUxMjBeNTU0YSMyY3NnZXBnczNfLS02MTZzcw%3D%3D&l=2023051811000475F33CF377C8690A81D6&btag=e00080000&cc=13&download=true,Conservative Memes,True,498000,43200,5405,4000000,,,,,,,1,51000,777300,73,777300,data/videos/6748582567995378949.mp4,https://www.tiktok.com/@/video/6748582567995378949,"Go ahead, go ahead. No, not you, not you. Your organization's terrible. Your organization's terrible. Let's go. Go ahead. Quiet, quiet. Go ahead, she's asking a question. Don't be rude. Don't be rude. No, I'm not going to give you a ques- I'm not going to give you a question. You are fake news.",False,True,False,False,False,"[{'label': 'male', 'start': 0.0, 'end': 20.580000000000002}]",0.0,0.0
6752944407395175686,trump2020,2019-10-28 15:53:18-04:00,"The hat didn’t fit, but can the vid go viral so that Trump sees it?😂#fyp #foryou #trump2020 #republican",,"fyp, foryou, trump2020, republican",10,True,0,6744484944707406597,original sound,https://v77.tiktokcdn.com/b6938a63d5c8d1d28f4bf3098f88c531/6465e582/video/tos/useast2a/tos-useast2a-v-27dcd7/63978bd04336403e9c81b3c20ae02e4a/?a=1180&ch=0&cr=0&dr=0&er=2&cd=0%7C0%7C0%7C0&br=250&bt=125&ft=d2A~l-Inz7Tt7TGfiyq8Z&mime_type=audio_mpeg&qs=6&rc=O2RoPDc2Omg2NmdlMzQ4NEBpMzdpeGxuMzh3dTMzPDU8M0AzYjA2NV82NWExYjNiYjVgYSNmZ2kwX19qYWRfLS0uMTZzcw%3D%3D&l=20230518074439733AD957B8DE2D062212&btag=e00080000&cc=13&download=true,Kaleb Harper,True,219000,16700,8276,2600000,,,,,,,1423,192100,6400000,156900,6400000,data/videos/6752944407395175686.mp4,https://www.tiktok.com/@/video/6752944407395175686,There's not any.,True,True,False,True,True,"[{'label': 'noise', 'start': 0.0, 'end': 2.2600000000000002}, {'label': 'noEnergy', 'start': 2.2600000000000002, 'end': 2.64}, {'label': 'music', 'start': 2.64, 'end': 7.18}, {'label': 'male', 'start': 7.18, 'end': 9.9}, {'label': 'noEnergy', 'start': 9.9, 'end': 10.28}]",4.539999999999999,45.39999999999999
6755172553632926981,trump2020,2019-11-03 14:59:36-05:00,Keep America great #donaldtrump #trump2020 #trump #trumptrain #inspration 🦅🇺🇸Trump 2020🇺🇸🦅,Trump 20 20,"donaldtrump, trump2020, trump, trumptrain, inspration",38,True,0,6755152356901423877,original sound,https://v77.tiktokcdn.com/ff44f30bae031ebb100042dc033aa215/6465e5a2/video/tos/useast2a/tos-useast2a-v-27dcd7/0105bb8bb26b4483a74c9c7ea91aac86/?a=1180&ch=0&cr=0&dr=0&er=2&cd=0%7C0%7C0%7C0&br=124&bt=62&ft=d2A~l-Inz7TDVTGfiyq8Z&mime_type=audio_mpeg&qs=3&rc=aGRmNWZlZzxlNDk4Ojw8O0BpMzt3cjQ6ZjRwNzMzNzU8M0AvNmA1My9gNi8xMmEuLTVjYSM2bzNtcjRfYGFgLS1kMTZzcw%3D%3D&l=20230518074514DE9934CC70AA1C056ACC&btag=e00080000&cc=13&download=true,Jesus is king,True,213600,34300,6718,1400000,,,,,,,1802,84000,993400,62200,993400,data/videos/6755172553632926981.mp4,https://www.tiktok.com/@/video/6755172553632926981,"If I give you one message to hold in your hearts today, it's this. Treat the word impossible as nothing more than motivation. Relish the opportunity to be an outsider because it's the outsiders who change the world and who make a real and lasting difference.",True,True,False,False,True,"[{'label': 'male', 'start': 0.0, 'end': 4.24}, {'label': 'noEnergy', 'start': 4.24, 'end': 5.14}, {'label': 'male', 'start': 5.14, 'end': 10.700000000000001}, {'label': 'noEnergy', 'start': 10.700000000000001, 'end': 11.14}, {'label': 'male', 'start': 11.14, 'end': 20.94}, {'label': 'music', 'start': 20.94, 'end': 36.34}, {'label': 'noEnergy', 'start': 36.34, 'end': 36.78}, {'label': 'music', 'start': 36.78, 'end': 37.6}, {'label': 'noEnergy', 'start': 37.6, 'end': 38.42}]",16.220000000000002,42.6842105263158
6758547542276852998,maga,2019-11-12 17:16:18-05:00,#trump2020 #foryourpage #maga #maga #kag,,"trump2020, foryourpage, maga, maga, kag",45,False,0,6758505275898039046,original sound,https://v77.tiktokcdn.com/d503fec76f8181de8a3dc3b408072b13/6466130a/video/tos/useast2a/tos-useast2a-v-27dcd7/1163b7bd25ec4a448c81c574b7f3ebdb/?a=1180&ch=0&cr=0&dr=0&er=2&cd=0%7C0%7C0%7C0&br=250&bt=125&ft=d2A~l-Inz7Tc~fGfiyq8Z&mime_type=audio_mpeg&qs=6&rc=ZGczO2k7NjplOzw7NjpnaUBpM2duPG5mPGo5eTMzNjU8M0AtXy80XjAtXjExM2NiMS0uYSMvLmZnXmBmLmVfLS0yMTZzcw%3D%3D&l=2023051810585618C4682BF7A7420B3479&btag=e00080000&cc=13&download=true,Victor Sala,True,243300,19100,1928,1900000,,,,,,,3488,23700,660000,19400,660000,data/videos/6758547542276852998.mp4,https://www.tiktok.com/@/video/6758547542276852998,"What? Did I kill them, sir? Are you kidding me?",True,True,False,True,False,"[{'label': 'music', 'start': 0.0, 'end': 11.46}, {'label': 'noise', 'start': 11.46, 'end': 23.26}, {'label': 'music', 'start': 23.26, 'end': 41.56}, {'label': 'male', 'start': 41.56, 'end': 45.72}]",29.76,66.13333333333334
6759058155272965381,maga,2019-11-14 02:17:48-05:00,Show your support #donaldtump #trump #maga #2020 #trump2020 #makeamericagreatagain #republic #america #election #election2020,❤️ If you support president Trump 🇺🇸 Trump 2020 🇺🇸,"donaldtump, trump, maga, 2020, trump2020, makeamericagreatagain, republic, america, election, election2020",37,True,0,6758986001542138629,original sound,https://v77.tiktokcdn.com/ae55491dde20991f22602f9f37d009ab/64661387/video/tos/useast2a/tos-useast2a-v-27dcd7/2d697267faf64e9fbd63d4b70977c76e/?a=1180&ch=0&cr=0&dr=0&er=2&cd=0%7C0%7C0%7C0&br=250&bt=125&ft=d2A~l-Inz7TpgfGfiyq8Z&mime_type=audio_mpeg&qs=6&rc=Zzw1OzM0NDlkZmc6NGQ6PEBpanJoPDVyM2x3MzMzZDU8M0A0NTI1YWA2XzAxLi8zLV5fYSNhNG5yMGFeai1gLS02MTZzcw%3D%3D&l=2023051811001076E91E22B5F0EE0AE074&btag=e00080000&cc=13&download=true,Donald Trump Team,True,166900,7461,2589,1200000,,,,,,,0,48400,322200,15,322200,data/videos/6759058155272965381.mp4,https://www.tiktok.com/@/video/6759058155272965381,"What's going on now is the single greatest scam in the history of American politics. The Democrats want to take away your guns. They want to take away your healthcare. They want to take away your vote. They want to take away your freedom. They want to take away your judges. They want to take away everything. We can never let this happen. We're fighting to drain the swamp, and that's exactly what I'm doing. And you see why we have to do it. Because our country is at stake like never before. It's all very simple. They're trying to stop me because I'm fighting for you, and I'll never let that happen.",False,True,False,False,True,"[{'label': 'noEnergy', 'start': 0.0, 'end': 0.58}, {'label': 'male', 'start': 0.58, 'end': 3.42}, {'label': 'noEnergy', 'start': 3.42, 'end': 4.14}, {'label': 'male', 'start': 4.14, 'end': 19.62}, {'label': 'noEnergy', 'start': 19.62, 'end': 20.1}, {'label': 'male', 'start': 20.1, 'end': 31.060000000000002}, {'label': 'noEnergy', 'start': 31.060000000000002, 'end': 31.78}, {'label': 'male', 'start': 31.78, 'end': 33.160000000000004}, {'label': 'noEnergy', 'start': 33.160000000000004, 'end': 33.72}, {'label': 'male', 'start': 33.72, 'end': 35.1}, {'label': 'noEnergy', 'start': 35.1, 'end': 35.7}, {'label': 'male', 'start': 35.7, 'end': 36.980000000000004}]",0.0,0.0
6759592971953327365,democrats,2019-11-15 12:53:05-05:00,#itsshowtime #BornToGlow #politics #voteblue #worklife #tik_tok #dumptrump #impeachtrump #democrats #republican #dem,This was my favorite moment of the day..😂😂,"itsshowtime, borntoglow, politics, voteblue, worklife, tik_tok, dumptrump, impeachtrump, democrats, republican, dem",59,True,0,6759567278196493062,original sound,https://v77.tiktokcdn.com/208eab3b6de51693ba1101763129edb3/646651ae/video/tos/alisg/tos-alisg-v-27dcd7/4b8831993c954703a6c1d3d437e876e8/?a=1180&ch=0&cr=0&dr=0&er=2&cd=0%7C0%7C0%7C0&br=250&bt=125&ft=d2A~l-Inz7TVHxGfiyq8Z&mime_type=audio_mpeg&qs=6&rc=NjQ8aDM6ZztnaGg7aTs1OkBpM2dmNjxlbzV3eDMzNjU8M0BhXzQuMy9hNTQxNGNfYWBjYSMtZF4xXjRrXmBfLS0uMTRzcw%3D%3D&l=202305181525561EEFE6027F71902DCA7F&btag=e00080000&cc=13&download=true,Valencia,True,35600,1461,296,429100,,,,,,,492,1600,137500,1902,137500,data/videos/6759592971953327365.mp4,https://www.tiktok.com/@/video/6759592971953327365,"I know Mr. Fonick you had a few quick questions for the ambassador Yield to you. Mr. Fonick. Thank you. Mr. Nunez ambassador Yovanovich. Thank you for being here today The gentlewoman was suspend. What is the interruption for this time? It is our time the gentlewoman was suspend. You're not recognized. Mr. Nunez You were my council. I just recognized under the House Residence 660 You are not allowed to yield time except a minority count ranking member yielded time another member of Congress That is not accurate you're gagging the that is accurate Ambassador Yovanovich, I want to thank you for being here today. You're not recognized This is the fifth time you have interrupted members of Congress The gentlewoman will suspend Mr. Chair, we control the time It's been customary this committee that whoever controls the time Can yield to whoever they wish if we have members of Congress that have a few questions Seems appropriate that we'd be able to let Mr. Fonick",False,True,True,False,True,"[{'label': 'male', 'start': 0.0, 'end': 4.82}, {'label': 'noEnergy', 'start': 4.82, 'end': 5.4}, {'label': 'male', 'start': 5.4, 'end': 6.92}, {'label': 'female', 'start': 6.92, 'end': 10.48}, {'label': 'male', 'start': 10.48, 'end': 13.02}, {'label': 'female', 'start': 13.02, 'end': 15.22}, {'label': 'male', 'start': 15.22, 'end': 28.92}, {'label': 'female', 'start': 28.92, 'end': 30.44}, {'label': 'noEnergy', 'start': 30.44, 'end': 31.18}, {'label': 'female', 'start': 31.18, 'end': 32.96}, {'label': 'male', 'start': 32.96, 'end': 35.72}, {'label': 'noEnergy', 'start': 35.72, 'end': 36.78}, {'label': 'female', 'start': 36.78, 'end': 39.92}, {'label': 'male', 'start': 39.92, 'end': 43.38}, {'label': 'noEnergy', 'start': 43.38, 'end': 44.24}, {'label': 'male', 'start': 44.24, 'end': 58.980000000000004}]",0.0,0.0
6764365112364076293,maga,2019-11-28 09:31:26-05:00,#duet with @itsryantelfer #justdancemoves I love this #trump2020 #republican #conservative #maga #foryou #happythanksgiving #JumanjiChallenge,,", duet, justdancemoves, trump2020, republican, conservative, maga, foryou, happythanksgiving, jumanjichallenge",31,True,6755998162676157701,217330751267393536,Something Just Like This,,The Chainsmokers & Coldplay,False,177100,10700,975,1200000,,,,,,,496,26300,510400,61700,510400,data/videos/6764365112364076293.mp4,https://www.tiktok.com/@/video/6764365112364076293,"So Barack Obama, Hillary Clinton, and Nancy Pelosi were all in an airplane with a pilot. And Obama says, I'm going to take this $100 bill, throw it out the airplane, and make one American happy. Hillary Clinton says, I'm going to take that $100 bill, Obama, and I'm going to split it in two and make two Americans happy. Nancy Pelosi says, I'm going to take those $250s, Hillary. I'm going to make them $101 bills and make 100 Americans happy. The pilot goes, how about I throw all three of you out the airplane and make every American happy?",False,True,False,False,True,"[{'label': 'noEnergy', 'start': 0.0, 'end': 0.32}, {'label': 'male', 'start': 0.32, 'end': 1.56}, {'label': 'noEnergy', 'start': 1.56, 'end': 1.98}, {'label': 'male', 'start': 1.98, 'end': 2.7600000000000002}, {'label': 'noEnergy', 'start': 2.7600000000000002, 'end': 3.2}, {'label': 'male', 'start': 3.2, 'end': 5.78}, {'label': 'noEnergy', 'start': 5.78, 'end': 6.26}, {'label': 'male', 'start': 6.26, 'end': 7.24}, {'label': 'noEnergy', 'start': 7.24, 'end': 7.74}, {'label': 'male', 'start': 7.74, 'end': 12.74}, {'label': 'noEnergy', 'start': 12.74, 'end': 13.280000000000001}, {'label': 'male', 'start': 13.280000000000001, 'end': 19.18}, {'label': 'noEnergy', 'start': 19.18, 'end': 19.64}, {'label': 'male', 'start': 19.64, 'end': 26.400000000000002}, {'label': 'noEnergy', 'start': 26.400000000000002, 'end': 26.96}, {'label': 'male', 'start': 26.96, 'end': 31.26}]",0.0,0.0
6764504823481109765,maga,2019-11-28 18:33:36-05:00,#trump2020 #fyp #maga #kag #happythanksgiving,,"trump2020, fyp, maga, kag, happythanksgiving",9,True,0,6749010353583115014,Biden Won,https://v58.tiktokcdn.com/video/tos/useast2a/tos-useast2a-v-27dcd7/08a5163766a94b5194975a424595cec1/?a=1180&ch=0&cr=0&dr=0&er=2&cd=0%7C0%7C0%7C0&br=250&bt=125&ft=d2A~l-Inz7T9~fGfiyq8Z&mime_type=audio_mpeg&qs=6&rc=aDk7O2U6N2hlN2k4ZzQ5OUBpanVrdnJ5eTtzdTMzZjU8M0AyNV8zLjReX2AxNDFiLl4vYSNiXjFxMV8wNl5fLS00MTZzcw%3D%3D&l=20230518105903EB540E46CFEA580A6551&VExpiration=1684411191&VSignature=FKL_oi-mNXn-UEhBViV4hw&btag=e00080000&cc=14&download=true,ZZ,True,187600,7885,4430,3700000,,,,,,,3488,23700,660000,19400,660000,data/videos/6764504823481109765.mp4,https://www.tiktok.com/@/video/6764504823481109765,"Alexa, who's the President of the United States? The United States President is Donald Trump.",False,True,True,True,True,"[{'label': 'noEnergy', 'start': 0.0, 'end': 0.28}, {'label': 'male', 'start': 0.28, 'end': 3.16}, {'label': 'noEnergy', 'start': 3.16, 'end': 4.96}, {'label': 'female', 'start': 4.96, 'end': 7.42}, {'label': 'noise', 'start': 7.42, 'end': 9.0}]",0.0,0.0
6764983068668333318,democrats,2019-11-30 01:29:27-05:00,❤️ ! #bernie2020 #bernie #berniesanders #berniebros #democrats #politics #democrats2020 #share ##foryou #election #vote #trump #donaldtrump,❤️ if You are an Immigrant!  🇺🇸 Bernie 2020 🇺🇸,"bernie2020, bernie, berniesanders, berniebros, democrats, politics, democrats2020, share, foryou, election, vote, trump, donaldtrump",59,True,0,6764851823170964230,original sound,https://v77.tiktokcdn.com/6036d94cfc50f1724a3da73c79229a4f/6466519e/video/tos/useast2a/tos-useast2a-v-27dcd7/21332f82884346e7b844b0b233854505/?a=1180&ch=0&cr=0&dr=0&er=2&cd=0%7C0%7C0%7C0&br=250&bt=125&ft=d2A~l-Inz7TVHxGfiyq8Z&mime_type=audio_mpeg&qs=6&rc=OTY8ZWU0OTM2Mzs2ZWU5aEBpM3J1ZmY1cDpzMzMzOTU8M0BjNWEtMC8zNjUxXzEzNjZgYSNeLW4xYzFzbmJgLS00MTZzcw%3D%3D&l=2023051815255669D94B091CBE1C2E6594&btag=e00080000&cc=13&download=true,Bernie Sanders Team,True,42400,2084,1122,215800,,,,,,,0,12400,263900,40,263900,data/videos/6764983068668333318.mp4,https://www.tiktok.com/@/video/6764983068668333318,This barbaric...,True,True,False,True,True,"[{'label': 'music', 'start': 0.0, 'end': 5.5}, {'label': 'noEnergy', 'start': 5.5, 'end': 6.68}, {'label': 'music', 'start': 6.68, 'end': 16.0}, {'label': 'noise', 'start': 16.0, 'end': 23.46}, {'label': 'music', 'start': 23.46, 'end': 34.44}, {'label': 'noise', 'start': 34.44, 'end': 40.62}, {'label': 'music', 'start': 40.62, 'end': 42.32}, {'label': 'noEnergy', 'start': 42.32, 'end': 42.92}, {'label': 'male', 'start': 42.92, 'end': 44.22}, {'label': 'noEnergy', 'start': 44.22, 'end': 45.160000000000004}, {'label': 'music', 'start': 45.160000000000004, 'end': 59.08}]",41.42,70.20338983050847
