audio_id,transcription,detected_language
../data/audios\6746590978280279301,"Do you know what Dab Me Up is? Do you know what Dab Me Up is? Okay, so you have to go like that. That's how you Dab Me Up. Dab Me Up! Woo! The way we do it in my neighborhood, we go like this. You walk up, you go like this. Oh, can we do that? No, no, let's do it. You go this, this. No, no, keep it even. You're too old. This, this, and then this. This, okay, okay. Then this. You got it? I got it. Good to see you. Good to see you too.",en
../data/audios\6748582567995378949,"Go ahead, go ahead. No, not you, not you. Your organization's terrible. Your organization's terrible. Let's go. Go ahead. Quiet, quiet. Go ahead, she's asking a question. Don't be rude. Don't be rude. No, I'm not going to give you a ques- I'm not going to give you a question. You are fake news.",en
../data/audios\6752944407395175686,There's not any.,en
../data/audios\6755172553632926981,"If I give you one message to hold in your hearts today, it's this. Treat the word impossible as nothing more than motivation. Relish the opportunity to be an outsider because it's the outsiders who change the world and who make a real and lasting difference.",en
../data/audios\6758547542276852998,"What? Did I kill them, sir? Are you kidding me?",en
../data/audios\6759058155272965381,"What's going on now is the single greatest scam in the history of American politics. The Democrats want to take away your guns. They want to take away your healthcare. They want to take away your vote. They want to take away your freedom. They want to take away your judges. They want to take away everything. We can never let this happen. We're fighting to drain the swamp, and that's exactly what I'm doing. And you see why we have to do it. Because our country is at stake like never before. It's all very simple. They're trying to stop me because I'm fighting for you, and I'll never let that happen.",en
../data/audios\6759592971953327365,"I know Mr. Fonick you had a few quick questions for the ambassador Yield to you. Mr. Fonick. Thank you. Mr. Nunez ambassador Yovanovich. Thank you for being here today The gentlewoman was suspend. What is the interruption for this time? It is our time the gentlewoman was suspend. You're not recognized. Mr. Nunez You were my council. I just recognized under the House Residence 660 You are not allowed to yield time except a minority count ranking member yielded time another member of Congress That is not accurate you're gagging the that is accurate Ambassador Yovanovich, I want to thank you for being here today. You're not recognized This is the fifth time you have interrupted members of Congress The gentlewoman will suspend Mr. Chair, we control the time It's been customary this committee that whoever controls the time Can yield to whoever they wish if we have members of Congress that have a few questions Seems appropriate that we'd be able to let Mr. Fonick",en
../data/audios\6764365112364076293,"So Barack Obama, Hillary Clinton, and Nancy Pelosi were all in an airplane with a pilot. And Obama says, I'm going to take this $100 bill, throw it out the airplane, and make one American happy. Hillary Clinton says, I'm going to take that $100 bill, Obama, and I'm going to split it in two and make two Americans happy. Nancy Pelosi says, I'm going to take those $250s, Hillary. I'm going to make them $101 bills and make 100 Americans happy. The pilot goes, how about I throw all three of you out the airplane and make every American happy?",en
../data/audios\6764504823481109765,"Alexa, who's the President of the United States? The United States President is Donald Trump.",en
../data/audios\6764983068668333318,This barbaric...,en
../data/audios\6767012149236600070,"that you work hard for what you want in life. That your word is your bond, that you do what you say you're going to do. That you treat people with dignity and respect because we want our children and all children in this nation to know that the only limit to the height of your achievements is the reach of your dreams and your willingness to work hard for them.",en
../data/audios\6767438501068754182,"Oh, I stepped in shit.",en
../data/audios\6768354102876458245,"Guys, my retainer gives me the weirdest lisp when I talk with it. Watch how it sounds when I say the word trash. Democrats.",en
../data/audios\6769885035374988549,,en
../data/audios\6770054795723050246,"Since Syria, Iraq, and Afghanistan, Trump has taken us out of Turkey, he's taken us out of Syria, he killed the leader of ISIS, he created 6 million plus jobs, he has grown the GDP plus 50 to 100 points per year, the stock market is hitting brand new records each week, how naive I am, I am, how naive I am, the funny thing is the Democrats are grasping at it trying to impeach him for nothing, for nothing, he's one of the greatest presidents in American history.",en
../data/audios\6771161534275046662,"This man is so racist, why is he giving $100 billion to the low-income community? He's so racist. And he's so racist, why he's the president that reopened back funding for HBCUs? So you're 100% for Trump? 150,000%. Damn, all right, nigga. Who would you be for, Obama? What did he do? I'll wait. You tell me one thing he did. Oh, but he's racist, but yet he signed into law the general form law that freed over 4,000 people, 97% were black. But he's racist, though. This is what racists do. This is the new era of racism. I need that racism. I like it. I like it. If that's racist, let me get more of that. Facts!",en
