video_id,label,start,end
6892193566290889985,music,0.0,3.86
6892193566290889985,male,3.86,11.42
6892193566290889985,female,11.42,16.0
6892193566290889985,noEnergy,16.0,16.66
6892193566290889985,female,16.66,29.46
6839079433794505989,music,0.0,1.54
6839079433794505989,male,1.54,23.72
6885403130297732357,music,0.0,6.54
6889924077721521413,noise,0.0,3.9
6889924077721521413,music,3.9,16.740000000000002
6891017029051108614,music,0.0,14.88
6891017029051108614,female,14.88,29.94
6891017029051108614,male,29.94,32.02
6891017029051108614,female,32.02,38.24
6891017029051108614,male,38.24,41.68
6891017029051108614,noise,41.68,43.300000000000004
6891017029051108614,female,43.300000000000004,45.76
6891017029051108614,noise,45.76,49.08
6891017029051108614,male,49.08,50.7
6891017029051108614,female,50.7,54.84
6891017029051108614,noEnergy,54.84,57.34
6885427214763052293,noEnergy,0.0,0.24
6885427214763052293,male,0.24,17.28
6885427214763052293,noEnergy,17.28,17.84
6886242941497576709,noEnergy,0.0,0.36
6886242941497576709,female,0.36,1.8800000000000001
6886242941497576709,noise,1.8800000000000001,3.5
6886242941497576709,noEnergy,3.5,4.0200000000000005
6886242941497576709,female,4.0200000000000005,4.78
6886242941497576709,noEnergy,4.78,5.38
6886242941497576709,female,5.38,8.94
6886242941497576709,male,8.94,12.22
6886242941497576709,female,12.22,15.66
6886242941497576709,male,15.66,18.22
6886242941497576709,female,18.22,19.76
6886242941497576709,noEnergy,19.76,21.54
6886242941497576709,noise,21.54,26.0
6886242941497576709,female,26.0,31.1
6892464867157101830,noise,0.0,2.92
6892464867157101830,music,2.92,5.76
6892464867157101830,noEnergy,5.76,6.48
6892464867157101830,music,6.48,22.72
6892464867157101830,noEnergy,22.72,24.44
6892464867157101830,noise,24.44,29.82
6892464867157101830,noEnergy,29.82,30.42
6892464867157101830,music,30.42,44.68
6892464867157101830,noEnergy,44.68,47.06
6892464867157101830,noise,47.06,47.76
6892464867157101830,noEnergy,47.76,51.300000000000004
6892464867157101830,music,51.300000000000004,58.980000000000004
6892101728750062850,music,0.0,9.5
6893456537977670913,music,0.0,4.28
6893456537977670913,noEnergy,4.28,6.42
6893456537977670913,music,6.42,49.46
6852848692362251525,noEnergy,0.0,0.34
6852848692362251525,female,0.34,11.06
6852848692362251525,noEnergy,11.06,11.5
6852848692362251525,female,11.5,13.84
6852848692362251525,noEnergy,13.84,15.5
6852848692362251525,female,15.5,17.66
6852848692362251525,noEnergy,17.66,18.44
6852848692362251525,female,18.44,19.28
6852848692362251525,male,19.28,20.0
6852848692362251525,noEnergy,20.0,21.88
6852848692362251525,female,21.88,39.32
6852848692362251525,noise,39.32,41.52
6852848692362251525,music,41.52,44.38
6852848692362251525,noEnergy,44.38,45.28
6852848692362251525,male,45.28,48.28
6882387340225023237,noEnergy,0.0,0.2
6882387340225023237,female,0.2,15.3
6882387340225023237,male,15.3,17.04
6882387340225023237,female,17.04,23.68
6882387340225023237,noEnergy,23.68,24.18
